price(USD),title,artist,year created,time period,art movement,condition,signed,age of artwork(years)
7000,Classic Torso,Ruth Bernhard,1952,Post-War,Realism,"This print is in generally excellent condition.There is blue discoloration, possibly an ink deposit, in the upper corners of the reverse of the mount. 'B625' and '635' are written in pencil in an unidentified hand on the reverse.","Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",72
3000,Horse In A Stable,Albert Clark &amp; Son,1894,19th Century,Traditional,This work is in good condition with wear commensurate with age and use.Artwork has not been examined outside of frame.Paint loss including scratches.,Signed and dated Albert Clark & Son in paint lower left,130
4000,With Turban No. 1,Ruth Bernhard,1962,Post-War,Realism,"This print, with a semi-glossy surface, is in generally excellent condition. Under close examination, some deposits of original retouching and some very faint impressions are visible. A thin excess of dry-mounting tissue is visible on the mount at periphery of the print. The mount is yellowed overall and there is a rust-colored deposit near the signature.  There is a Ginny Williams Collection label on the reverse of the mat.","Signed in pencil on the mount, signed, titled, and dated '1971' on the reverse of the mat.",62
7000,Creation ,Ruth Bernhard,1936,Modern,Realism,"This print, on paper with a surface sheen and flush-mounted to board, is in generally good condition. Under close examination, the following are visible: faint impressions and scratches; deposits of original retouching; ink deposits along the upper edge; and a glossy area parallel to the lower edge. Visible under raking light are several translucent liquid drips, each approximately 7 inches long, extending from the upper edge.The edges and corners are bumped and there are tiny losses to the emulsion. The upper right corner is creased but does not appear to break the emulsion. The edges of the board are inked.  The reverse is soiled. There are yellowed adhesive remnants and abrasions suggesting that the print was previously affixed to a secondary mount. 'RB124' is written in pencil in an unidentified hand on the reverse.When examined under ultraviolet light, this print does not appear to fluoresce.","Signed, titled, dated, and annotated 'TOP' in pencil, the photographer's ‘2982 Clay Street, San Francisco, California, 94115’ studio label, annotated 'Dolls head' in ink, on the reverse.",88
4000,Abstract Torso,Ruth Bernhard,1947,Post-War,Abstract,This print is in excellent condition.There are some deposits of original retouching.,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",77
4000,Dark Torso with Hands,Ruth Bernhard,1971,Post-War,Realism,"This work is in excellent condition.This print on double-weight paper with a surface sheen, is in generally excellent condition. Under close examination, there are some scattered shallow impressions. The photograph is printed to the image and the edges are worn.'RB138' and 'OUT' are written in pencil in an unidentified hand on the reverse. The upper right corner of the reverse is soiled.","Signed, titled, and dated in pencil on the reverse.",53
3000,Joan,Ruth Bernhard,1962,Post-War,Realism,"This solarized print, on Agfa paper, is in generally excellent condition. There is a 3-inch diagonal crease in the upper right corner that does not appear to break the emulsion. 'RB147' is written in pencil in an unidentified hand on the reverse.",Signed in pencil on the reverse.,62
5000,Harvest ,Ruth Bernhard,1953,Post-War,Realism,"This lush, matte-surface print is in generally excellent condition. The mount is faintly soiled and the edges and corners are worn.The reverse of the mount is faintly soiled and there are some scattered fingerprints. The following is written in pencil in an unidentified hand on the reverse: 'AGFA 1143-PAPER, UNIQUE, AOZ-V-89, $4500' and 'RB021.'","Signed in pencil on the mount, signed, titled, dated, and annotated 'Printed ca. 1959' and 'Vintage' in pencil on the reverse.",71
7000,Perspective II,Ruth Bernhard,1967,Post-War,Realism,This print is in excellent condition. The sheet is gently rippled.,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",57
2000,Shell and Driftwood,Ruth Bernhard,1943,Modern,Realism,"This print is in generally excellent condition. Under close examination, there are some deposits of original retouching, a few tiny impressions, and 2"" faint, circular disruptions near the center.The reverse is faintly soiled. There are abrasions and hinge remnants, suggesting this print was previously affixed to a secondary mount.'Property of Ginny Williams' is written in pencil by Ginny Williams on the reverse. '1200-' and 'C.170,10' are written in pencil in an unidentified hand. 'Printed in / Book Ruth Bernhard / The Ginny Williams Collection' is written in pencil by Ginny Williams on a Post-It note affixed to the reverse.",Signed and titled in pencil on the reverse.,81
3000,Rockport Nude,Ruth Bernhard,1946,Post-War,Realism,"This photograph, on semi-glossy paper, is in generally very good to excellent condition.There are scattered deposits of original retouching, some faint scratches, and a few small translucent liquid droplets. The periphery of the image is somewhat yellowed. The photograph is trimmed to the image and there are a few chips to the emulsion along the edges. Since the reverse of the image is hinged to a mat, it cannot be examined.When examined under ultraviolet light, this print appears to fluoresce.",unknown,78
3000,Two Cows,Ruth Bernhard,1937,Modern,Realism,"This print, on paper with a slight surface sheen, is in generally excellent condition. Under close examination, a few deposits of original retouching are visible.'RB062' and 'SP' are written in pencil in an unidentified hand on the reverse. The reverse is very faintly soiled.","Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",87
3000,Teapot,Ruth Bernhard,1976,Post-War,Surrealism,"This print, with a semi-glossy surface, is in generally excellent condition. The reverse of the mount is abraded in a small area in the upper right corner.","Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.",48
8750,Make Believe Ballroom ,Larry Rivers,1989,Post-War,Pop Art,"This work is in good condition.The work is in generally good condition apart from surface soiling and scattered spots of pale, mottled discoloration.The adhesive discolored in a few spots along the seams.","Signed in blue paint, dated and numbered 99/105",35
2500,Untitled #3890,Hiro Yokose,2002,Contemporary,Romanticism,This work is in very good condition.No obvious signs of damage.,"Signature, date and title on verso",22
2000,Untitled #3972,Hiro Yokose,2003,Contemporary,Romanticism,This work is in good condition.Small chip to frame on upper left.Inconsistencies on wax surface on top center.,"Signature, date and title on verso",21
600,Kate Lawson,George Platt Lynes,1935,Modern,Realism,This work is in good condition.Slight rippling to paper.,unknown,89
600,Laurie Douglas Horbach,George Platt Lynes,1944,Modern,Realism,This work is in good condition.Slight rippling to paper.,unknown,80
800,Still Life With Lumber,Stephen Neil Lorber,1975,Post-War,Realism,This work is in good condition.Not examined outside of frame.Slight rippling and toning to paper.,Signed in pencil lower right corner.,49
800,Correspondence 05 (Strike Gently),Brett Groves,2012,Contemporary,Realism,This work is in very good condition.Not examined outside of frame.No obvious defects to artwork.,"Signed in ink lower left, numbered lower right.",12
800,The Pink Vase,Curtis Ripley,1981,Post-War,Realism,This work is in very good condition.Not examined outside of frame. Light scratches to plexiglass,"Signed, dated and stamped lower right.",43
800,Chinese Baskets,Stephen Neil Lorber,1977,Post-War,Realism,This work is in good condition.Not examined outside of frame.Rippling and toning to paper.,Signed in pencil lower right corner.,47
800,A Collection ,Olivia Munroe,1980,Post-War,Realism,This work is in good condition.Not examined out of frame.,"Numbered, titled and signed pencil recto.",44
800,Blue Gray ,Adrianne Wortzel,1990,Post-War,Realism,This work is in good condition.Not examined out of frame.Sheet undulation.Scratches to plexiglass.,"Numbered, signed and dated in pencil recto.",34
800,Plastic Buckets ,Martin McGinn,2001,Contemporary,Expressionism,This work is in good condition.Not examined out of frame.Minor indentations to sheet.Soiling to edges of frame.,Signed and dated in pencil recto,23
1500,Biomorphic Furniture ,Laura Newman,1989,Post-War,Abstract,Not examined out of frame. Sheet undulation. Numerical inscriptions in pencil at back of frame.,unknown,35
800,Untitled ,Mary Jo Vath,2003,Contemporary,Realism,This work is in good condition.Not examined out of frame.Minor sheet undulation.,Signed and dated in pencil recto.,21
800,Shell/Butterfly,Stuart Nielsen,1978,Post-War,Expressionism,This work is in very good condition.Not examined outside of frame.No obvious defects to artwork.,Signed and dated in pencil upper left.,46
800,Tools,Neil Winokur,1990,Post-War,Realism,This work is in good condition.Minor wear to finish.Back is lined with paper that is unaffixed in some areas.,unknown,34
1500,Untitled,Willie White,1986,Post-War,Expressionism,Not examined outside of frame. No obvious defects to artwork.,unknown,38
800,Anaktos,Elspeth Lamb,1989,Post-War,Abstract,This work is in very good condition.Not examined outside of frame.No obvious defects to artwork.,unknown,35
680,Moonrise,David Fokos,2001,Contemporary,Realism,This work is in very good condition with no obvious signs of wear to the photo.Not examined out of frame.Chips to frame.,Signed and dated lower right recto,23
680,"Untitled, Replica V3",Suzanne Song,2008,Contemporary,Minimalism,This work is in very good condition with no obvious signs of wear.,Signed and dated verso,16
680,Canal,David Fokos,2001,Contemporary,Realism,This work is in very good condition with no obvious signs of wear to photo.Not examined out of frame.Chips to frame.,Signed and dated lower right recto,23
800,White Landscape,Alan Turner,1978,Post-War,Expressionism,This work is in good condition.Artwork not examined outside of frame.Small pinholes in all four corners.Light smudges to mat.,Signed lower right in pencil,46
1500,Nursery,Paul Narkiewicz,1980,Post-War,Expressionism,Artwork not examined outside of frame.No obvious signs of wear to artwork.,unknown,44
1500,View Of Living Room,Diane Sophrin,1983,Post-War,Realism,Artwork not examined outside of frame.No obvious signs of wear to artwork.,unknown,41
800,Atlantis Explosion No 4,Ron Trujillo,1987,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Some scuffs and marks at corners of wood frame.,Signed R Trujillo on bottom right recto,37
800,Untitled,Joan Nelson,1990,Post-War,Expressionism,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor scuffs to plexiglass at bottom.Minimal signs of wear to frame.,Signed Joan Nelson 90 in pencil in lower right recto,34
800,Summer 2,Claire Van Vliet,1985,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed lower right in pencil,39
1500,Beach Pastel,Sandy Walker,1979,Post-War,Expressionism,Artwork not examined outside of frame.No obvious signs of wear to artwork.Two dents on white mat at bottom left.,Signed SW 79 in pencil on bottom center recto,45
1500,Autumn Covering Summer,Alan Turner,1979,Post-War,Expressionism,Artwork not examined outside of frame.Small pinholes in all four corners.Yellowing to paper.,"Signed and dated in pencil, lower right",45
800,Brooklyn Bridge,John Shaw,1983,Post-War,Expressionism,This work is in good condition.Artwork not examined outside of frame.Not obvious signs of wear to artwork.Some surface scratches to plexiglass.Minimal surface wear to frame.,Signed John Shaw in pencil on lower right recto,41
800,Birds,Steven Barbash,1977,Post-War,Realism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed and dated lower right in pencil,47
800,Untitled,JOHN BELLANY,1987,Post-War,Surrealism,This work is in good condition.Artwork not examined outside of frame.Minor rippling to paper.Minor surface wear to frame.,Signed John Bellany in pencil on bottom right recto,37
1500,Blue Hills,Mel Pekarsky,1977,Post-War,Expressionism,This work is in good condition.Artwork not examined outside of frame.Two small holes at top right and left corners.,"Signed and dated lower right, MP '77",47
800,Lure,Mary Jo Vath,1989,Post-War,Expressionism,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Inscribed 14/30 M.Vath 1989 in pencil recto,35
800,Whale,Jack Knox,1986,Post-War,Expressionism,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed lower right in pencil,38
800,Spotted Salamander,Jack Beal,1973,Post-War,Expressionism,"This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Scuffs and marks to wood frame, more significant wear at top right corner.Surface wear to plexiglass and frame.",Signed Jack Beal in pencil on lower right recto,51
1500,University Of PA Boathouse,Joseph Sweeney,1993,Post-War,Realism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Smudges to mat.,unknown,31
800,Lobster,Steven Campbell,1986,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor surface wear to frame.Scratch to plexiglass across bottom.Minor separation of mitered corner of frame at lower right.,Signed Steven M Campbell in pencil on bottom right recto,38
800,Todd,Deborah Brown,2001,Contemporary,Realism,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed in pencil bottom right,23
800,Bullfrog,DON NICE,1972,Post-War,Realism,This work is in good condition.Artwork not examined outside of frame.Minor discoloration to paper edges.Pin holes at corners of paper from previous hanging.Minor rippling of paper.Minor surface wear to frame.,Signed Nice in pencil on lower right recto,52
800,Fragile Wings,David True,1989,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper.Minimal surface wear to frame.,Signed David True 89 in pencil on lower right rector,35
4500,"NYC, USA",Ernst Haas,1953,Post-War,Realism,"This work is in excellent condition. The colors remain bright and saturated with no apparent fading.The Haas Studio label is signed by Alexander Haas, the photographer's son and is titled, dated, editioned '1/15', and annotated in ink.",Signed on verso by the artist's son,71
800,Plaza Del Joc III,Susana Solano,1988,Post-War,Expressionism,This work is in good condition.Artwork not examined outside of frame.Minor rippling of paper.Minor surface wear to frame.,Inscribed in pencil on lower right recto,36
800,Sadie I,Deborah Brown,2001,Contemporary,Realism,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed in pencil bottom right,23
1500,Ocean Series I,Sandy Walker,1978,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper.Minimal surface wear to frame.,Signed SW 78 in pencil on lower center recto,46
7000,Nails In Technicolor,Horst P. Horst,1941,Modern,Realism,"This piece is in overall very good condition. There are a few soft small creases that do not appear to break the emulsion, which are visible only in raking light.",unknown,83
1500,Night Venture,Donald Sanders,1987,Post-War,Expressionism,Artwork not examined outside of frame.No obvious signs of wear to artwork.Some marks and scuffs on lower right corner of frame.Minor surface wear to frame.,unknown,37
800,Parthenon,Marcia Scanlon,1986,Post-War,Realism,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Paint drip on inside of glass frame.,Signed in pencil at bottom,38
800,Stonehenge,Norman Stevens,1976,Post-War,Realism,This work is in very good condition.Not examined out of frame.Minor creasing to sheet.,Inscribed 21/25 Stonehenge Norman Stevens in pencil recto,48
800,Plaça Del Joc De La Pilota II,Susana Solano,1987,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper.Minor surface wear to frame.,Inscribed in pencil on lower right recto,37
800,Untitled (451 Ca),Joan Nelson,1990,Post-War,Expressionism,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minimal signs of wear to frame.,Signed Joan Nelson 90 in pencil on lower right recto,34
800,Delphi Tholos II,Marcia Scanlon,1985,Post-War,Realism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed in pencil lower right,39
800,Dove,Jack Knox,1986,Post-War,Expressionism,This work is in good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed lower right in pencil,38
800,Homage To Constable (Salisbury),Anthony Gross,1976,Post-War,Impressionism,This work is in good condition.Not examined out of frame.Scattered scratches to plexiglass.Faint burn marks at edges of paper.Sheet undulation.,"Numbered, titled and singed in pencil recto",48
1500,Palisades #4,Billy Sullivan,1986,Post-War,Realism,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Inscribed Palisades #4 Bill Sullivan in pencil recto,38
800,Fragments Of Hope,T.L. Solien,1982,Post-War,Conceptual ,This work is in good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.,Artist signature and date incorporated in work,42
800,Fragments Of Hope,T.L. Solien,1982,Post-War,Conceptual ,This work is in good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.Separation of frame at corner and crack to frame.,unknown,42
1500,New York Central Building,Richard Haas,1974,Post-War,Traditional,This work is in good condition.Artwork not examined outside of frame.Minor rippling and discoloration to paper edges.Minor wear to frame finish.,Signed Richard Haas in pencil on lower right recto,50
800,Untitled,Forrest Moses,1979,Post-War,Expressionism,This work is in good condition overall.Artwork not examined outside of frame.Minor rippling and discoloration to paper.,Moses in pencil at lower right recto,45
800,Seal,June Redfern,1986,Post-War,Abstract,Not examined out of frame.No obvious signs of wear to art.,Signed lower right recto,38
1500,"Morning Shadows, Marshall Point",David Dewey,1984,Contemporary,Impressionism,This work is in very good condition.Not examined outside of frame.No obvious damage to artwork.,unknown,40
1500,Tide Pool Shuffle,Mary Armstrong,1984,Post-War,Expressionism,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Signed lower right,40
1500,Daisy On Carpet,Billy Sullivan,1981,Post-War,Realism,This work is in very good condition.Not examined out of frame.Sheet undulation due to artist's chosen working materials.,Inscribed Billy Sullivan in pastel lower right corner recto,43
1500,Third Street Garden,James Romberger,1990,Post-War,Realism,Not examined out of frame.Adhesive residue marks throughout plexiglass.Minor soiling and marks to paper.Minor sheet undulation.Blemish to frame at bottom right side.,Signed JAMES lower right recto,34
1500,"Berthed Boats, Camogli",Alberto Morrocco,1988,Post-War,Realism,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Artist signature and date lower left recto,36
1500,Wave,Mary Jo Vath,1985,Post-War,Expressionism,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Nicks and chips to frame.,Artist name inscribed verso,39
800,Indian Island II,Lucy Sallick,1989,Post-War,Expressionism,This work is in good condition.Not examined out of frame.Small scattered scratches to plexiglass.,Inscribed 2/15 Indian Island II Lucy Sallick 1989 in pencil recto,35
800,New Moon and Poplars,Gregory Crane,1990,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper consistent with process.No other obvious signs of artwork.,Signed Gregory Crane 1990 in pencil at lower right recto,34
1500,Untitled No. 4,John Andre Gundelfinger,1977,Post-War,Impressionism,This work is in very good condition.Not examined out of frame.Minor sheet undulation due to artist's chosen working materials.,Signed in paint lower right corner recto,47
800,I Am Too,Steven Sorman,2000,Post-War,Abstract,This work is in good condition.Not examined outside of frame.No obvious damage to artwork.,unknown,24
800,Wolf,June Redfern,1986,Post-War,Abstract,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Signed lower right recto,38
800,"A Schoharie Marsh, Spring",Richard Chiriani,1984,Post-War,Realism,"This work is in very good condition.Small sticky mark to plexiglass on lower left corner, suggest cleaning.No visible signs of wear to artwork.Not examined out of frame.",Signed and dated recto,40
800,Alaskan Wildlife,Richard Mock,2001,Contemporary,Conceptual ,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,"Inscribed 5/100 ""Alaskan Wildlife"" Richard Mock 2001 in pencil recto",23
800,"Ice Crusher, Cart",Antonio Frasconi,1952,Post-War,Conceptual ,This work is in very good condition.Not examined outside of frame.No obvious damage to artwork.,Signed in pencil lower right,72
800,"Palms III Ojai, CA",Richard Crozier,1979,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed Richard Crozier 1979 in pencil at lower right recto,45
1500,September,Marilyn Duke,1984,Post-War,Expressionism,Not examined out of frame.One small surface mark and one minor indentation to frame.Faint surface marks at top right corner.No visible signs of wear to artwork.,unknown,40
1500,"Study, Storm Over Bell Pond",Ella Delyanis,1983,unknown,unknown,This work is in very good condition.Artwork not examined outside of frame.No obvious sign of wear to artwork.,Bottom right recto,41
800,A Brilliant Entrance,Gregory Crane,2003,Contemporary,Expressionism,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Signed and dated lower right recto,21
800,Garden Scene,Joseph Soloman,1979,Post-War,Expressionism,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.One small mark to frame on left side.,Inscribed Joseph Soloman 79 bottom right corner recto,45
800,Lion,June Redfern,1986,Post-War,Abstract,This work is in very good condition.Not examined out of frame.Small nick to frame at top center.Small chip to paper.,Signed lower right recto,38
800,Max,Paul Davis,1977,Post-War,Expressionism,This work is in good condition.Not examined out of frame.Horizontal adhesive residue mark across the top of the image.Scattered surface scratches to plexiglass.,Inscribed He Paul Davis 77 in pencil recto,47
800,Eric Shows Me The Hidden Parks,Judith S. Miller,2006,Contemporary,Realism,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Signed and dated lower right recto,18
800,The Net,MICHAEL MAZUR ,1977,Post-War,Impressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor wear to frame surface.,Signed Mazur in pencil on lower right recto,47
800,Painted Rock State Park: Arizona,Len Jenshel,1988,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,unknown,36
800,Islands #8,Billy Sullivan,1986,Post-War,Realism,This work is in very good condition.Not examined out of frame.Small black mark at right corner of matte.,Signed and numbered in pencil recto,38
800,Fragments Of Hope,T.L. Solien,1982,Post-War,Conceptual ,This work is in good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.,unknown,42
800,Nightride Overpass,Lizbeth Mitty,2001,Contemporary,Impressionism,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Signed and dated lower right recto,23
800,Untitled No 2,John Gundelfinger,1979,Post-War,Realism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed John Gundelfinger in pencil on white backing at lower left,45
800,Crawlers,Darina Karpov,2012,Contemporary,Conceptual ,This work is in very good condition.No obvious signs of wear to art.Not examined out of frame.,Signed and dated lower right recto,12
1500,The Cove and Beyond,Sally Amster,1981,Post-War,Expressionism,"No visible signs of wear to artwork.Not examined out of frame.Frame is loose, has been taped for adherence.Chips to finish on wood frame.",Artist signature and date lower right recto,43
800,Entrance,Donna Dennis,1986,Post-War,Expressionism,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,"Signed and dated in pencil, lower right.",38
1500,Lifeline Drawing Series #28,Susan Laufer,1988,Post-War,Abstract,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Artist signature bottom right recto,36
1500,Book Of Jeremiah,Joseph A. Salvatore,1981,Post-War,Conceptual ,This work is in good condition.Not examined out of frame.Mark at bottom right corner of frame.,unknown,43
800,Wakeby Island,MICHAEL MAZUR ,1985,Post-War,Expressionism,This work is in good condition.Rippling to paper.Not examined out of frame.,Signed lower right recto,39
800,Stag,"Peter Howson, O.B.E.",1986,Post-War,Realism,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Signed lower right recto.,38
800,Grand Central Station,Richard Haas,1972,Post-War,Traditional,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Signed in pencil lower right,52
1500,Untitled (Yellow),Richard Garrison,2009,Contemporary,Conceptual ,This work is in very good condition.Not examined out of frame.No visible signs of wear to artwork.,unknown,15
1500,Untitled Landscape,Eugene Charlton-Rafalsky,1974,Post-War,Expressionism,This work is in very good condition.Not examined outside of frame.No obvious damage to artwork.,"Signed and dated in pencil, lower right",50
800,Fragments Of Hope,T.L. Solien,1982,Post-War,Conceptual ,This work is in very good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.,unknown,42
800,Fog River IV,Yvonne Jacquette,1976,Post-War,Expressionism,This work is in very good condition.No obvious signs of wear to art.Not examined out of frame.,Signed lower right recto,48
800,Cypress,Richard Ballard,1990,Post-War,unknown,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Signed and dated lower right recto,34
800,Beacon Pink,Gregory Amenoff,1986,Post-War,Abstract,This work is in very good condition.No obvious signs of damage to art.Not examined out of frame.,"Signed, dated, and titled lower right recto",38
1500,"Cove at Bremen, Maine",Ray Ciarrocchi,1978,Post-War,Impressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,unknown,46
800,Passageway,Anne Ross,2008,Contemporary,Surrealism,This work is in good condition.Not examined out of frame.Numerical pencil inscription at back.A few small marks to finish on frame.,unknown,16
1500,Deccan Suite #15,Terence LaNoue,1979,Post-War,Abstract,This work is in very good condition.Not examined out of frame.Minor sheet undulation due to artist's chosen working materials.,Signed in pastel recto,45
800,"Horizon Series, Wind Series 1",Frances Ashforth,2011,Contemporary,Expressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Signed Frances B Ashforth '11 in ink on lower right recto,13
800,Monument Valley ,Len Jenshel,1987,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,unknown,37
800,Spider,Bruce Mclean,1986,Post-War,Expressionism,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Signed and dated lower right recto,38
1500,Untitled,Susan Wilmarth,1977,Post-War,Abstract,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,unknown,47
1500,Trees and Darkness,John Berens,1990,Post-War,Expressionism,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,unknown,34
800,Original Face,Bill Jensen,2011,Contemporary,Abstract,This work is in very good condition.Artwork not examined outside of frame.Very minor rippling of paper.,unknown,13
1500,Landscape No 8,Barbara Apel,1984,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.Minor scuffs and wear to frame finish.,Apel inscribed at lower right recto,40
1500,North Of Pawnee,George Atkinson,1989,Post-War,Impressionism,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,unknown,35
1500,Romantic Landscape,John Berens,1990,Post-War,Expressionism,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,unknown,34
800,Current's Edge,Karen Kunc,1987,Post-War,Abstract,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,"Signed, numbered and dated in pencil lower right",37
1500,Evening XXIII,Keith Jacobshagen,1990,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper consistent with process.,Signed K JACOBSHAGEN in ink at lower right recto,34
1500,An American Collage X,Angelo Ippolito,1976,Post-War,Surrealism,This work is in very good condition.Artwork not examined outside of frame.Not obvious wear to artwork.Minor wear to frame surface.,Signed Ippolito 76 in pencil at lower right recto,48
1500,Judean Hills,Giora Dublon,1989,Post-War,Expressionism,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Signed lower right,35
800,"Untitled, Green Wall",Alan Herman,1980,Post-War,Minimalism,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,"Signed, dated and numbered in pencil lower right",44
800,Red Island With Rainbow,Gregory Crane,2000,Contemporary,Expressionism,This work is in very good condition.Not examined out of frame.Minor adhesive residue to plexiglass.No visible signs of wear to artwork.,"Titled, dated and signed in pencil recto",24
800,Bayard-Condict Building,Richard Haas,1970,Post-War,Traditional,This work is in good condition.Not examined out of frame.Minor surface scratches to plexiglass.Frame shows minor wear at edges.No visible signs of wear to artwork.,"Signed, titled, dated, and numbered in pencil recto",54
800,Fragments Of Hope,T.L. Solien,1982,Post-War,Conceptual ,This work is in very good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.,unknown,42
1500,Roaring River 73,Nancy Brett,1989,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.Small pin holes at corners from previous hanging.No other signs of wear to artwork.,unknown,35
800,Landscape,Adrian Wiszniewski,1991,Post-War,Surrealism,This work is in good condition.Not examined out of frame.A few minor marks to finish on frame.Pencil and marker inscription at back of frame.,Inscribed 18/30 with indecipherable signature in pencil recto,33
800,Brooklyn Heights NYC,John Benton Harris,2006,Contemporary,Realism,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,"Title, date, edition and artist signature with copyright on a piece of paper affixed verso.",18
800,Untitled,Freya Hansell,1989,Post-War,Expressionism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear of artwork.,Signed Freya Hansell 1989 in pencil at lower right recto,35
800,Pale Water,Joel Janowitz,1987,Post-War,Expressionism,This work is in good condition.Not examined out of frame.Minor sheet undulation.Minor surface scratches to plexiglass.,"Titled, signed and dated in pencil recto",37
1500,Untitled No. 16,John Andre Gundelfinger,1977,Post-War,Impressionism,This work is in good condition.Not examined out of frame.Minor sheet undulation due to artist's chosen working materials.,unknown,47
1500,Untitled Landscape #22,Bernard Chaet,1978,Post-War,Expressionism,This work is in very good condition.Rippling to paper.Not examined out of frame.,Artist signature and date lower right recto,46
800,Gas Station With Tree,Konrad Cramer,1931,Modern,Realism,This work is in overall good condition.Not examined out of frame.Minor sheet undulation at top.Minor surface wear to plexiglass.,"Numbered, signed, and dated in pencil recto",93
800,Beyond The Forest,Francis Ruyter,2012,Contemporary,Pop Art,This work is in very good condition.Not examined out of frame.Slight ripple effect to paper through printing process.,Signed by artist lower right recto,12
1500,Miss Kim,Charles Hawes,1970,Post-War,Realism,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor marks and scuffs to frame finish.,Charles Hawes inscribed at lower right recto,54
